"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"alpha[1]",1.28919648191104,0.0373924314327851,0.481164428027707,0.317463963020843,0.954930134565214,1.33466548142066,1.63739166961839,2.23627151621652,165.584474433365,0.991860436480395,1.21737567858326,0.512854338385712,0.323654900076631,0.812515595811613,1.19679582574605,1.61815774720698,2.2438178439683,1.29410971692829,0.42088171558647,0.668229629150208,0.948889002973411,1.26065426302004,1.52602451755415,2.11293764216173,1.32301493929862,0.442399746478206,0.523682918745885,1.02886119504947,1.37604228396881,1.55244092583367,2.17208002888632,1.32228559283399,0.544794046464754,0.217918896646204,0.98554573714462,1.37146990524592,1.67729099825505,2.19954088704144
"beta[1]",-0.69491738603399,0.0335895229579351,0.397482256070929,-1.37114696055945,-0.993942164221024,-0.691299542091365,-0.426118297104901,0.0309605241587772,140.032170477014,1.01595835840478,-0.711803345359148,0.412446686162598,-1.39237653630122,-1.01455382582731,-0.745758398674266,-0.376387289396958,-0.0261333218221036,-0.685809861342041,0.412374661610509,-1.3521249643215,-1.04377369656552,-0.653612789682579,-0.4269374997082,0.0152336792310686,-0.754675218818415,0.417936046544305,-1.43164898471648,-1.04198580013741,-0.793651379267613,-0.5216900526035,0.0622243476360835,-0.627381118616354,0.343703639525062,-1.23002412511395,-0.818428819515778,-0.626668680036329,-0.385436031553896,-0.094926599425096
"gamma[1]",-0.0658369445498195,0.0290504310538811,0.389821330363172,-0.876315944999084,-0.311078716948101,-0.0895211047205091,0.196906340412476,0.626535395952756,180.063644813509,0.996585514826806,-0.106068229499446,0.396756159071208,-0.824474383979381,-0.385525985874759,-0.141457930093481,0.194594963634416,0.583479379339075,0.00327180129807184,0.44605353270395,-0.863402500527586,-0.295327877141397,0.0923904725074286,0.245896395407591,0.84718480313715,-0.0137530468914887,0.317936746861962,-0.519855331429373,-0.255357683178171,-0.063691826670518,0.221791786044125,0.595995317554247,-0.146798303106415,0.379080112135926,-0.917977073044877,-0.280789110262121,-0.107493055361685,0.0931083200568316,0.503112649873215
"delta[1]",0.470266443710736,0.0279552055266118,0.396051351279612,-0.269062365741163,0.181038098192245,0.461305055450047,0.741162923550837,1.21830178120272,200.71397859603,0.997651736424468,0.478180971278932,0.409165961274384,-0.250405756687303,0.232661817982551,0.536221537872675,0.704203516317299,1.16368627615504,0.473523391151809,0.450912702974143,-0.368493754079417,0.131839177077247,0.424811728463844,0.79587429102313,1.25608923341838,0.421815476397134,0.382021323821923,-0.179523217079318,0.13000477192112,0.467406769571115,0.625878336705642,0.980847279665185,0.507545936015068,0.341266098694867,-0.00955789285169496,0.254486491064506,0.426019640655404,0.828337430024052,1.12822109635851
"epsilon[1]",0.27600335750483,0.0294533434026157,0.38222399884119,-0.521964184818966,0.0343806849595051,0.259155295859708,0.559868004355489,1.00331323743934,168.409544674302,1.00180693168478,0.223182888085659,0.358664095865801,-0.488550375100859,-0.00146520934799243,0.194812328783148,0.425662010151447,0.885120119283976,0.237232422329293,0.430981788862828,-0.492556358687971,0.00232470795741221,0.167816457866667,0.498942226645173,1.02474683951988,0.321328114121084,0.386756273518275,-0.346999923830191,0.116897798613042,0.339491150895644,0.547550528907075,1.08789385157301,0.322270005483282,0.347416669930803,-0.464097722983124,0.133192982549412,0.350497079854595,0.605756722314609,0.815948757226751
"alpha[2]",-0.0362026665517288,0.0361300623505085,0.48155242580554,-0.943030721771712,-0.384758342201156,-0.00601438663828914,0.295355067019142,0.843926578244345,177.643666311434,0.991279744579551,-0.0917471091100974,0.487025222723383,-0.931377921290562,-0.454150546707072,-0.067441968848322,0.142211868396678,0.916132967234349,-0.0194650721779701,0.43677571309626,-0.637660620076672,-0.395280042872755,-0.0122237639002023,0.301687471470186,0.870287360245664,-0.0135293305885576,0.447274301725533,-0.885777932602949,-0.301216132521328,0.0371279634620758,0.200794094274175,0.831053138514712,-0.0200691543302902,0.556348264528026,-1.14330918079342,-0.289277681708873,0.14239138593698,0.370076884094434,0.680364805740882
"beta[2]",-0.603109843066175,0.0330121929198413,0.390224818314676,-1.30873998841061,-0.898928016327573,-0.595151843794554,-0.337159455007003,0.122205697590405,139.72722221279,1.01075823493304,-0.624951219154994,0.427220204878339,-1.32129188537254,-0.952018306643109,-0.597843939106656,-0.27946905099508,0.112909826227075,-0.585833611675474,0.397762062314175,-1.30981871583755,-0.853654215537847,-0.657697615615155,-0.339726255514712,0.114572430288436,-0.652552518046641,0.396269880044414,-1.23792852857892,-0.938751884042225,-0.680822762269214,-0.449312824274843,0.152740083446803,-0.549102023387593,0.338231961597348,-1.18816446296489,-0.773884969716357,-0.563742607618336,-0.281920089138805,-0.0286743962890136
"gamma[2]",1.11049199932225,0.02807719923167,0.38589428527169,0.284599400567098,0.896779325903386,1.09203189661471,1.36233655091121,1.87151954937391,188.898768612885,0.997392338367129,1.07484328768035,0.392198176592076,0.326756243323395,0.788772826220659,1.08253916188444,1.29332494341965,1.81771132952755,1.17382316845174,0.430361148144468,0.363303082521453,0.949033646463601,1.13919782436116,1.43714604577412,1.99691169339146,1.16778770125458,0.308064511833466,0.66782057208493,0.955014179001735,1.08181784832182,1.37586775585593,1.7916816118028,1.02551383990232,0.393361187538518,0.26408871182918,0.90692945513475,1.04386629276207,1.31766450836773,1.6532304345481
"delta[2]",-0.43910095461631,0.028038383252485,0.410308952551002,-1.17378390834686,-0.747572591184837,-0.429606267983668,-0.127632003691955,0.311369611173325,214.148999841878,0.999248574328499,-0.431588033696302,0.41748596698455,-1.16549425622417,-0.74734593138086,-0.398536507760636,-0.163947566888786,0.300108046557317,-0.424036060179516,0.465219967262498,-1.27607309956722,-0.760185807679492,-0.555730908254534,-0.0518066021807644,0.370693877640697,-0.491240568703014,0.401533139800366,-1.15957102915256,-0.792578024691199,-0.451588221435542,-0.236943061520349,0.112192546990761,-0.409539155886407,0.357509655140894,-0.916523073646405,-0.688401820079817,-0.484406595044355,-0.101968888303187,0.256156471185022
"epsilon[2]",0.0426550301698848,0.0295004615281741,0.385492256783919,-0.69925819291278,-0.197887439416398,-1.13813383916537e-05,0.314075452228897,0.795451045563532,170.75510521662,1.00379968088216,-0.0174306740745474,0.357458062070974,-0.707453578397081,-0.264293522005124,-0.0636175305377258,0.17906528308328,0.7602492917982,0.000669646506031935,0.442676926609662,-0.683676000165112,-0.257560429079106,-0.0491298272683752,0.338089463473839,0.835774969364781,0.0942939852519278,0.392132622567357,-0.568673278856736,-0.11740699887064,0.117789848986263,0.329690098437845,0.839904181364687,0.0930871629961268,0.339424798276162,-0.635182660034626,-0.0687601503536647,0.150371610198891,0.322078147564532,0.634433160398169
"alpha[3]",-0.920387274382715,0.03895852559749,0.496572986094026,-2.01404211600523,-1.2816866094516,-0.855590540177214,-0.630453891261527,0.0645268307091215,162.465501318644,0.995205084095758,-0.984148442463464,0.510634430320558,-1.98000603684622,-1.4302386534507,-0.903681222266628,-0.651752747003526,0.00603830493458812,-0.930973962509062,0.401537407387249,-1.52761727886864,-1.2839760018686,-0.927949402325345,-0.685963979295292,-0.128293029643744,-0.881167892944226,0.476445257880262,-1.89650537441222,-1.18031345913537,-0.794340064196181,-0.64109278089376,-0.0578094370460396,-0.885258799614107,0.587677195596915,-2.06892505398066,-1.27101161660086,-0.796360171885871,-0.472819396668529,0.0638613946606969
"beta[3]",-0.240251105271034,0.0336717093147036,0.395461104879974,-0.929355236101122,-0.519542824759962,-0.273073806282635,0.0557564984044108,0.482405111229495,137.935871687566,1.00836151918868,-0.260806612841945,0.396171207200389,-0.924529150960428,-0.548450560068638,-0.276956217766125,-0.018676500231208,0.473190156015489,-0.207095046730884,0.416932540581316,-0.956124683035018,-0.463574261344645,-0.217767939109028,0.0993121427317141,0.499287144179682,-0.299906391869891,0.402920362727369,-0.880339299093307,-0.563662343132874,-0.323430311529067,-0.144097341799602,0.466340110845342,-0.193196369641414,0.366824200161959,-0.898760914740011,-0.481694666116393,-0.173626811573347,0.0988603424676427,0.424862379115883
"gamma[3]",0.909072959777956,0.0285116297639521,0.384572110153441,0.0964040624630595,0.682811767450265,0.921300725716965,1.12729142499401,1.62676062282355,181.933001591813,0.995835674009348,0.873102075428071,0.380231532045694,0.240518384187226,0.592300622334517,0.884984969760628,1.11302573024045,1.48037827495191,0.97702748807504,0.441159564651254,0.0777713252120116,0.748330512301074,1.00170180541212,1.27762988925628,1.77621883987855,0.96047437871858,0.30562866964037,0.467657666950808,0.740817048315162,0.937425740037132,1.15364370014231,1.54135058385743,0.825687896890132,0.390137979995406,-0.00215319473794973,0.645480003894969,0.878009285001333,1.07749381677416,1.49383065293944
"delta[3]",0.152866659301137,0.0296721976485822,0.418766095120033,-0.607086286481829,-0.172477118181517,0.170560061505224,0.42390195120519,0.972838014606559,199.179023214537,1.00078789010356,0.144390773399823,0.432341673587056,-0.618031539931352,-0.0888068316363431,0.28023549982055,0.379098107683284,0.837008090846673,0.165260593683612,0.475795554220294,-0.65139125832608,-0.19667413917656,0.0975857563922322,0.56939919055418,1.00930114093735,0.117733666271277,0.39249655636445,-0.583158911414082,-0.187923535184045,0.182031213702255,0.307194364770513,0.787478347779253,0.184081603849833,0.377304517990671,-0.414399076585602,-0.108195499522407,0.154803634690377,0.518702898321357,0.913312536423404
